,news title,news source(url),content summary,keywords
0,At least 26 killed in Afghan earthquake,https://www.straitstimes.com/asia/south-asia/at-least-26-killed-in-afghan-earthquake,"KABUL (NYTIMES) - Two earthquakes struck a remote, mountainous area of western Afghanistan, killing at least 27 people and destroying hundreds of homes, officials said on Tuesday (Jan 18).
For civilians in Afghanistan, earthquakes have added to the misery of living through a war that has gone on for years.
There have been several earthquakes in recent weeks along Afghanistan’s eastern borders with Pakistan and Tajikistan, data from the US Geological Survey show.
A quake in 2015 killed more than 300 people in northern Afghanistan and Pakistan.
A similar one in the same region, 24 years earlier, inflicted a similar death toll.","strike, 27, afghanistan, toll, province, earthquakes, survey, struck, killing, sarwari, similar, quake, magnitude"
1,Strong earthquake hits off Taiwan's eastern coast,https://www.straitstimes.com/asia/east-asia/strong-earthquake-hits-off-taiwans-eastern-coast,"TAIPEI (AFP) - A strong earthquake struck off the coast of eastern Taiwan on Monday (Jan 3) evening, the Central Weather Bureau said, with shaking felt in the capital Taipei but no immediate reports of damage.
The weather bureau said the quake measured 6.0 in magnitude and hit at the relatively shallow depth of 19km.
The weather bureau said no immediate reports of damage had come in.
A 6.5-magnitude quake struck north-eastern Yilan in October with minimal damage, in part because it was at a depth of 67km.
Hualien, a scenic tourist hot spot, was struck by a 6.4-magnitude earthquake in 2018 that killed 17 people and injured nearly 300.","taiwans, reporter, weather, taipei, hits, immediate, coast, struck, reports, earthquake, eastern, shaking, quake, magnitude, bureau, strong"
2,Earthquake in southwest China's Yunnan injures 15 people,https://www.straitstimes.com/asia/east-asia/earthquake-in-southwest-chinas-yunnan-injures-15-people,"BEIJING (AFP) - Fifteen people were injured when a shallow earthquake hit southwestern China on Sunday (Jan 2) afternoon and shook the popular tourist city of Lijiang, state media said.
State broadcaster CGTN said 15 people were injured, citing the local earthquake agency.
The epicentre was 115km away from Lijiang in Yunnan province, the USGS said.
In September last year, three people were killed and dozens injured when a shallow quake hit Sichuan province, and tens of thousands of homes were damaged.
A 7.9-magnitude quake in Sichuan province in 2008 left more than 80,000 people dead.","hit, province, injures, chinas, southwest, 15, injured, usgs, southwestern, earthquake, yunnan, thousands, sichuan, quake"
3,"Magnitude 5.7 earthquake strikes Crete, felt in Egyptian cities",https://www.straitstimes.com/world/europe/magnitude-57-earthquake-strikes-crete-felt-in-egyptian-cities,"ATHENS (REUTERS) - An earthquake of magnitude 5.7 struck Crete, Greece, on Wednesday (Dec 29), the country's Geodynamic Institute said.
Egyptian authorities reported the quake was felt in some of the country's cities.
Akis Tselentis, director of the Geodynamic Institute who was in Crete, told Greece's Skai TV: ""I felt it.""
The area is already burdened (with earlier tremors) and if it were inland there could have been damage,"" he said.
Another tremor of magnitude 5.3 struck at 1647 GMT (12.47am on Thursday, Singapore time) at a depth of 59km, the institute said.","tremors, egyptian, felt, struck, crete, tv, institute, cities, earthquake, tselentis, countrys, strikes, magnitude, 57, geodynamic"
4,7.4-magnitude quake rattles eastern Indonesia,https://www.straitstimes.com/asia/se-asia/73-magnitude-quake-strikes-indonesia-tsunami-possible,"JAKARTA (REUTERS, AFP) - A powerful 7.4-magnitude earthquake struck eastern Indonesia on Tuesday (Dec 14), triggering a tsunami warning and sending residents fleeing from their homes but causing only minor damage and injuring one person, authorities said.
The tsunami warning was lifted about two hours after the quake struck at 0320 GMT (11.20am Singapore time) in the Flores Sea, about 112km north-west of the town of Larantuka, in the eastern part of Flores island.
""Everyone ran out into the street,"" Mr Agustinus Florianus, a resident of Maumere town on Flores, told Reuters.
The quake, from an active fault in the Flores Sea, was followed by at least 15 aftershocks with the biggest registering magnitude 5.6, the meteorological agency said.
The US-based Pacific Tsunami Warning Centre had earlier warned that based on preliminary earthquake parameters, hazardous tsunami waves were possible for coasts located within 1,000km of the earthquake’s epicentre.","sea, pacific, rattles, warning, tsunami, told, indonesia, struck, eastern, 74magnitude, town, quake, magnitude, flores"
5,Japan quells fears of Mt Fuji eruption after earthquake,https://www.straitstimes.com/asia/east-asia/japan-quells-fears-of-mt-fuji-eruption-after-earthquake,"TOKYO (REUTERS) - Japanese authorities on Friday (Dec 3) damped down speculation about a possible volcanic eruption at Mount Fuji, the nation's highest peak, after a 4.8-magnitude earthquake sent the topic trending on Twitter.
The hashtag ""Mt Fuji eruption"", began trending in Japanese on Twitter, with one user saying, ""Tokyo would be in real trouble if Mount Fuji erupted.
The Japan Meteorological Agency, however, said there was no data indicating an increased chance of Mount Fuji erupting.
""We have seen no particular abnormalities in observational data regarding Mount Fuji.
There probably isn't any connection (between the quake and a possible eruption),"" an agency official said at a news conference.","major, japanese, trending, possible, eruption, fears, tokyo, fuji, quells, earthquake, erupted, quake, mount, mt, japan"
6,Strong earthquake of 6.1-magnitude strikes India-Myanmar border region,https://www.straitstimes.com/asia/se-asia/strong-earthquake-of-61-magnitude-strikes-india-myanmar-border-region,"YANGON (REUTERS) - A shallow and strong earthquake of magnitude 6.1 struck the Myanmar-India border region early on Friday (Nov 26), but there were no immediate reports of damage.
According to India's National Centre for Seismology, the quake was at depth of 12km, and was about 140km away of Aizawl in north-eastern India.
""Very strong,"" one such witness posted on EMSC from Chittagong, which is about 184km west of the quake's epicentre.
Tremors were felt across states in north-eastern India and major cities in Bangladesh, according to EMSC and India's earthquake monitoring agency.
EMSC pegged the temblor's magnitude at 5.8, after having earlier given it a magnitude of 6.0.","61magnitude, chittagong, emsc, indias, felt, posted, earthquake, indiamyanmar, border, northeastern, strikes, magnitude, region, witness, strong"
7,"5.0-magnitude quake strikes off Japan's Fukushima Prefecture, no tsunami warning issued",https://www.straitstimes.com/asia/east-asia/50-magnitude-quake-strikes-off-japans-fukushima-prefecture-no-tsunami-warning-issued,"TOKYO (XINHUA) - An earthquake with a magnitude of 5.0 struck off Japan's Fukushima prefecture on Wednesday (Dec 8), according to the Japan Meteorological Agency (JMA).
The temblor occurred at around 2.29am local time, with its epicentre at a latitude of 37.2 degrees north and a longitude of 141.2 degrees east, and at a depth of 20km.
The moderate quake logged three in some parts of Fukushima prefecture on the Japanese seismic intensity scale which peaks at seven.
So far, no tsunami warning has been issued.
Based on preliminary seismic data, the quake is not likely to have caused any significant damage, said the website of VolcanoDiscovery.","website, fukushima, warning, tsunami, issued, degrees, 50magnitude, xinhua, seismic, volcanodiscovery, quake, strikes, japans, prefecture"
8,7.5-magnitude earthquake strikes northern Peru,https://www.straitstimes.com/world/75-magnitude-earthquake-strikes-northern-peru,"LIMA (AFP) - A 7.5-magnitude earthquake struck northern Peru on Sunday (Nov 28), destroying buildings including a church tower, injuring at least 10 people and sending shock waves across the region.
The strong quake hit at 5.52 am (6.52pm Singapore time) at a depth of 131km, according to the Geophysical Institute of Peru.
""The movement has been immense,"" the town's mayor, Hector Requejo, told RPP radio.
""We have all taken to the streets, we are very scared,"" a listener called Lucia told RPP radio from the northern town of Chota.
""All my solidarity with the people of Amazonas in the face of the strong earthquake,"" Peruvian President Pedro Castillo said on Twitter.","quake, tower, told, rpp, 75magnitude, peruvian, earthquake, town, epicentre, peru, strikes, radio, northern, strong"
9,Quake shakes buildings in Guatemala City,https://www.straitstimes.com/world/quake-shakes-buildings-in-guatemala-city,"GUATEMALA CITY (REUTERS, AFP) - Buildings shook and a tremor was felt in Guatemala City on Thursday (Nov 18), according to a Reuters witness.
Earthquake monitor SkyAlert gave a preliminary report of a 6.0 magnitude earthquake that it said struck between Guatemala and El Salvador.
The quake struck about 45km south of the coastal area of Puerto San Jose, Guatemala, near the border of El Salvador, the United States Geological Survey reported.
No deaths of major damage was immediately reported.
""The earthquake was reported in various areas of the national territory in all regions,"" said David de Leon, spokesman for the National Coordination for Disaster Reduction (Conred).","reported, city, witnessearthquake, national, shakes, el, buildings, struck, guatemala, earthquake, quake, magnitude, various"
