,date,location,news title,news source(url),content summary,keywords
0,02/2022,GEORGE TOWN (THE STAR/ASIA NEWS NETWORK) ,"LATEST
Spike in cost leaves Malaysian durian farmers in thorny spot
7 hours ago
'It's like gold now': Indonesian food vendors feel the pinch of cooking oil shortage
Feb 11, 2022, 3:43 PM
Surging beef prices hard to stomach for US shoppers
Feb 10, 2022, 11:00 AM
Shoppers throng Hong Kong's markets after Covid-19 curbs announced
Feb 9, 2022, 7:23 PM
'Worst to come' on soaring UK food prices: Tesco boss
Feb 7, 2022, 10:45 PM
Global food prices hit 2-decade high, threatening world's poorest
Feb 4, 2022, 8:46 AM
Ukraine tensions can choke supply of energy, food for S'pore and Asia
Jan 31, 2022, 5:00 AM
The Big Story: More expensive fish, vegetables at S'pore wet markets ahead of CNY
Jan 26, 2022, 5:25 PM
Pomfret going for as high as $100 a kg as some fish prices double ahead of CNY
Jan 26, 2022, 4:00 PM
High pork prices weigh down on Thai consumers as Chinese New Year nears
Jan 12, 2022, 7:05 PM
Pagination",https://www.straitstimes.com/asia/se-asia/spike-in-cost-leaves-malaysian-durian-farmers-in-thorny-spot,"GEORGE TOWN (THE STAR/ASIA NEWS NETWORK) - Durians may cost more in the coming harvest season this April due to a spike in the cost of fertilisers and pesticides.
""We have fertilisers for rooting and to reinforce the trees after the harvest, as well as fertilisers for flowering and fruiting.
""Fertilisers are used throughout the year as durian trees require a great amount of care to produce good fruit.
Besides fertilisers, Goh said the cost of pesticides has also increased from RM300 (S$96) to RM500 for 20l concentrates.
""There were three major price hikes in August, October and November last year, and I was told that suppliers might increase the price further.","price, spike, used, fertiliser, spot, increased, increase, durians, leaves, fertilisers, harvest, durian, trees, farmers, malaysian, thorny, cost"
1,02/2022,JAKARTA ,"Spike in cost leaves Malaysian durian farmers in thorny spot
7 hours ago",https://www.straitstimes.com/asia/se-asia/its-like-gold-now-indonesian-food-vendors-feel-the-pinch-of-cooking-oil-shortage,"JAKARTA - For a few months, Jakarta fried snack vendor Sumarno had struggled to secure cooking oil.
“I can’t use less cooking oil.
“Tomorrow, I will fry with today’s used cooking oil that still looks clear, adding it to new oil,” he said.
The shortage of palm oil-based cooking oil, which started in November, hit Indonesia despite it being the world’s largest producer of palm oil.
This partly contributes to the shortage of palm-oil based cooking oil in the domestic market.","food, cooking, sumarno, feel, rupiah, shortage, pinch, started, vendors, palm, oil, stores, indonesian, price, biodiesel, gold"
2,02/2022,WASHINGTON (AFP) ,"'It's like gold now': Indonesian food vendors feel the pinch of cooking oil shortage
Feb 11, 2022, 3:43 PM",https://www.straitstimes.com/business/economy/surging-beef-prices-hard-to-stomach-for-us-shoppers,"American shoppers saw prices for meats, poultry, fish and eggs jump 12.5 per cent last year, while beef has soared by as much as 23 per cent, depending on the cut.
Prices for a quality cut of beef can cost up to US$25 a pound (S$34 for 454g).
""Foreign buyers of US meat, particularly China, have exhibited strong demand alongside strong domestic consumer demand,"" Prof Lusk said.
Over the last three months of 2021, Tyson raised beef prices by an average of nearly 33 per cent compared with the same period of 2020, while the company's profits far exceeded expectations.
Now with savings dwindling and prices soaring, eating a steak is out of reach for many low-income families.","washington, cent, strong, savings, prices, stomach, shoppers, beef, mother, meat, demand, hard, surging, lusk"
3,02/2022,HONG KONG (AFP) ,"Surging beef prices hard to stomach for US shoppers
Feb 10, 2022, 11:00 AM",https://www.straitstimes.com/asia/east-asia/shoppers-throng-hong-kongs-markets-after-covid-19-curbs-announced,"HONG KONG (AFP) - Shoppers thronged Hong Kong's markets fearing a shortage of food Wednesday (Feb 9), familiar scenes in a city that is back under gruelling Covid restrictions in contrast to much of the world.
The Omicron-fuelled spike has alarmed authorities and leader Carrie Lam announced renewed curbs on the 7.5 million residents of the financial hub.
She was among the throng of morning shoppers anxious over fresh produce supply, which the city mostly imports from the mainland.
Hong Kong's vegetable supply has since decreased by about a third, the government said.
The shortage - coupled with business savvy among suddenly popular vegetable sellers - has sent produce prices in Hong Kong's wet markets soaring with shelves in supermarkets sitting bare.","week, vegetable, hong, kongs, covid19, curbs, throng, shoppers, shortage, scenes, announced, city, markets, supply, siu"
4,02/2022,LONDON (AFP) ,"Shoppers throng Hong Kong's markets after Covid-19 curbs announced
Feb 9, 2022, 7:23 PM",https://www.straitstimes.com/world/europe/worst-to-come-on-soaring-uk-food-prices-tesco-boss,"LONDON (AFP) - The ""worst is still to come"" over soaring food prices, Britain's biggest retailer Tesco has warned, as fears grow over a cost of living crisis caused by decades-high inflation.
""The worst is still to come because... we are impacted by rising energy prices.
Our suppliers are impacted by rising energy prices,"" Mr Allan told the BBC.
Britain's annual inflation stands at 5.4 per cent, far above the Bank of England's (BoE) 2 per cent target.
The BoE last week delivered a successive interest rate hike and forecast that Britain's annual inflation rate would peak at 7.25 per cent in April.","week, cent, food, soaring, inflation, rate, prices, annual, warned, boss, uk, worst, workers, tesco, energy, come"
5,02/2022,WASHINGTON (NYTIMES) ,"'Worst to come' on soaring UK food prices: Tesco boss
Feb 7, 2022, 10:45 PM",https://www.straitstimes.com/business/economy/global-food-prices-hit-2-decade-high-threatening-worlds-poorest,"WASHINGTON (NYTIMES) - Food prices have skyrocketed globally because of disruptions in the global supply chain, adverse weather and rising energy prices, increases that are imposing a heavy burden on poorer people around the world and threatening to stoke social unrest.
A global index released on Thursday (Feb 3) by the United Nations Food and Agriculture Organisation showed that food prices in January climbed to their highest level since 2011, when skyrocketing costs contributed to political uprisings in Egypt and Libya.
Even before the pandemic, global food prices had been trending upwards as disease wiped out much of China's pig herd and the United States-China trade war resulted in Chinese tariffs on US agricultural goods.
But as the pandemic began in early 2020, the world experienced seismic shifts in demand for food.
While food prices appear set to stabilise, events like a conflict in Ukraine, a major producer of wheat and corn, or further adverse weather could change that calculation, Mr Bogmans said.","hit, price, cent, food, world, 2decade, prices, threatening, worlds, high, weather, supply, global, increases, poorest, pandemic"
6,01/2022,SINGAPORE ,"Global food prices hit 2-decade high, threatening world's poorest
Feb 4, 2022, 8:46 AM",https://www.straitstimes.com/business/companies-markets/ukraine-tensions-can-choke-supply-of-energy-food-for-spore-and-asia,"SINGAPORE - Far away from Singapore, there is a conflict brewing in eastern Europe that can make a bad situation worse in the global commodities markets and in turn cause problems here.
The stand-off between Russia and the West over Ukraine can add more volatility in energy and food prices, which are already in flux, and further boost inflation in Singapore and elsewhere by adding to the supply constraints caused by the pandemic.","food, standoff, asia, tensions, ukraine, turn, russia, singapore, worse, west, supply, volatility, choke, energy, spore, situation"
7,01/2022,"Catch the latest news video reports on The Big Story, The Straits Times' weekday online news programme.

Prices of some popular fish, such as Chinese pomfret and red grouper, have spiked ahead of Chinese New Year.

Visiting six wet markets on Wednesday (Jan 26), ST found that some sellers are doubling their prices for these fish.

While the fish merchants association said the price increase is normal during the Chinese New Year period, stallholders said the situation is being exacerbated by floods in Malaysia last month. Vendors added that suppliers in China have also been snatching up stocks.

Vegetable prices also continued to creep up, as sellers said they are still coping with the aftermath of the Malaysia floods, as well as manpower shortages in farms there.

And despite bak kwa costing more as well, the higher prices have not deterred people from queuing at Lim Chee Guan's flagship store in Chinatown. The Big Story speaks to some of them.

While you should not deprive yourself of snacks like bak kwa and pineapple tarts this festive season, be careful to not over","Ukraine tensions can choke supply of energy, food for S'pore and Asia
Jan 31, 2022, 5:00 AM",https://www.straitstimes.com/multimedia/the-big-story-more-expensive-fish-vegetables-at-spore-wet-markets-ahead-of-cny,"Catch the latest news video reports on The Big Story, The Straits Times' weekday online news programme.
Prices of some popular fish, such as Chinese pomfret and red grouper, have spiked ahead of Chinese New Year.
Visiting six wet markets on Wednesday (Jan 26), ST found that some sellers are doubling their prices for these fish.
Vegetable prices also continued to creep up, as sellers said they are still coping with the aftermath of the Malaysia floods, as well as manpower shortages in farms there.
And despite bak kwa costing more as well, the higher prices have not deterred people from queuing at Lim Chee Guan's flagship store in Chinatown.","expensive, ahead, cny, sellers, projects, kwa, despite, prices, floods, big, singapore, fish, markets, chinese, malaysia, vegetables, wet, spore"
8,01/2022,SINGAPORE ,"The Big Story: More expensive fish, vegetables at S'pore wet markets ahead of CNY
Jan 26, 2022, 5:25 PM",https://www.straitstimes.com/singapore/consumer/prices-of-popular-fish-double-at-wet-markets-ahead-of-cny-pomfret-going-for-as-high-as-100-a-kg,"SINGAPORE - Prices of some popular fish, such as Chinese pomfret and red grouper, have spiked ahead of Chinese New Year, with some sellers at wet markets doubling their prices.
The Straits Times visited six wet markets on Wednesday (Jan 26) and found that Chinese pomfret was selling for as high as $90 to $100 a kg, up from $40 to $50 a kg last November.
Red grouper was priced at up to $75 a kg, from $30 to $40 a kg in November.
A 70-year-old stallholder at Tekka Centre, who wanted to be known only as Mrs Yang, raised the price of Chinese pomfret from $30 a kg last month to the current $70 a kg.
""These are the most popular types of fish during the Chinese New Year period, so there's increased demand.","going, ahead, cny, kg, pomfret, prices, red, 100, high, fish, chinese, month, markets, market, price, centre, double"
9,01/2022,BANGKOK ,"Pomfret going for as high as $100 a kg as some fish prices double ahead of CNY
Jan 26, 2022, 4:00 PM",https://www.straitstimes.com/asia/se-asia/high-pork-prices-weigh-down-on-thai-consumers-as-chinese-new-year-nears,"On Tuesday (Jan 12), the Department of Livestock Development said it detected a case of African swine fever from a slaughterhouse in the Nakhon Pathom province near Bangkok.
This is the first official confirmation of the presence of African swine fever in the country.
It comes after growing speculation and reports from local bodies that the disease was already decimating pig herds and contributing to the soaring pork prices.
African swine fever is harmless to humans, but it is highly contagious and fatal to pigs.
African swine fever outbreaks have been reported in China and neighbouring countries such as Vietnam.","bangkok, weigh, nears, fever, prices, thai, swine, high, rise, consumers, chinese, supply, baht, price, pork"
